country,region,hdi
Iran,Ilam,.796
Iran,Kohgiluyeh and Boyerahmad,.773
Iran,Bushehr,.793
Iran,Zanjan,.754
Iran,Semnan,.804
Iran,Yazd,.805
Iran,Hormozgan,.751
Iran,Tehran and Alborz,.817
Iran,Ardebil,.743
Iran,Qom,.797
Iran,Qazvin,.777
Iran,Golestan,.758
Iran,North Khorasan,.729
Iran,South Khorasan,.739
Iraq,Dohouk,.689
Iraq,Nenava,.681
Iraq,Suleimaniya,.693
Iraq,Ta-amem-Karkuk,.691
Iraq,Erbil,.69
Iraq,Diala,.681
Iraq,Anbar,.667
Iraq,Baghdad,.689
Iraq,Babylon,.668
Iraq,Kerbela,.653
Iraq,Wasit,.643
Iraq,Salaheldeen,.679
Iraq,Najaf,.642
Iraq,Qadisiya,.666
Iraq,Muthanna,.633
Iraq,Thi-Qar,.672
Iraq,Maysan,.624
Iraq,Basra,.65
Italy,Piemonte,.912
Italy,Valle dAosta,.899
Italy,Liguria,.913
Italy,Lombardia,.927
Italy,Abruzzo,.901
Italy,Molise,.885
Italy,Campania,.868
Italy,Puglia,.869
Italy,Basilicata,.88
Italy,Calabria,.859
Italy,Sicilia,.859
Italy,Sardegna,.879
Italy,Provincia Autonoma di Bolzano,.925
Italy,Provincia Autonoma di Trento,.934
Italy,Veneto,.914
Italy,Friuli-Venezia Giulia,.918
Italy,Emilia-Romagna,.935
Italy,Toscana,.921
Italy,Umbria,.908
Italy,Marche,.915
Italy,Lazio,.929
Jamaica,"Kingston, St Andrew",.714
Jamaica,"St Thomas, Portland, St Mary",.695
Jamaica,"St Ann, St Catherine",.721
Jamaica,"Trelawny, St Elizabeth",.688
Jamaica,"St James, Hanover, Westmoreland",.698
Jamaica,"Manchester, Clarendon",.703
Jordan,Amman,.753
Jordan,Balqa,.733
Jordan,Zarqa,.721
Jordan,Madaba,.72
Jordan,Irbid,.731
Jordan,Mafraq,.682
Jordan,Jarash,.731
Jordan,Aljoun,.73
Jordan,Karak,.746
Jordan,Tafiela,.73
Jordan,Maan,.706
Jordan,Aqaba,.737
Japan,Hokkaido,.893
Japan,"Tohoku (Aomori, Iwate, Miyagi, Akita, Yamagata, Fukushima)",.888
Japan,"Northern-Kanto, Koshin (Ibaraki, Tochigi, Gunma)",.908
Japan,"Southern-Kanto (Saitama, Chiba, Tokyo, Kanagawa, Yamanashi, Nagano)",.946
Japan,"Hokuriku (Niigata, Toyama, Ishikawa, Fukui)",.902
Japan,"Toukai (Gifu, Shizuoka, Aichi, Mie)",.92
Japan,"Kansai region (Shiga, Kyoto, Osaka, Hyogo, Nara, Wakayama)",.922
Japan,"Chugoku (Tottori, Shimane, Okayama, Hiroshima, Yamaguchi)",.916
Japan,"Shikoku (Tokushima, Kagawa, Ehime, Kochi)",.899
Japan,"Kyushu (Fukuoka, Saga, Nagasaki, Kumamoto, Oita, Miyazaki, Kagoshima, Okinawa)",.899
Kazakhstan,Almaty city,.831
Kazakhstan,"South region (Almatinskaya, Zhambylskaya, Kyzylordinskaya, South-Kazakhstanskaya)",.785
Kazakhstan,"West region (Aktyubinskaya, Atyrauskaya, Mangistauskaya, West-Kazakhstanskaya)",.794
Kazakhstan,Central region (Karagandinskaya),.823
Kazakhstan,"North region (Akmolinskaya (incl Astana city), Kostnaiskaya, Pavlodarskaya, North-Kazakhstanskaya)",.816
Kazakhstan,East region (East-Kazakhstanskaya),.787
Kenya,Nairobi,.663
Kenya,Central,.627
Kenya,Coast,.582
Kenya,Eastern,.595
Kenya,Nyanza,.576
Kenya,Rift Valley,.593
Kenya,Western,.582
Kenya,North Eastern,.468
Kyrgyzstan,Bishkek,.738
Kyrgyzstan,Issyk-Kul,.701
Kyrgyzstan,Chuy,.708
Kyrgyzstan,Talas,.678
Kyrgyzstan,Jalal-Abad,.677
Kyrgyzstan,Osh,.679
Kyrgyzstan,Naryn,.683
Kyrgyzstan,Batken,.681
Cambodia,Banteay Mean Chey,.636
Cambodia,Kampong Cham (incl Tboung Khmum),.545
Cambodia,Kampong Chhnang,.615
Cambodia,Kampong Spueu,.499
Cambodia,Kampong Thum,.557
Cambodia,Kandal,.6
Cambodia,Kaoh Kong,.548
Cambodia,Phnom Penh,.696
Cambodia,Prey Veaeng,.602
Cambodia,Pousat,.528
Cambodia,Svay Rieng,.601
Cambodia,Takaev,.629
Cambodia,Bat Dambang-Krong Pailin,.594
Cambodia,Kampot-Krong Kaeb-Krong Preah Sihanouk,.573
Cambodia,Preah Vihear-Stueng Traeng-Kracheh,.572
Cambodia,Mondol Kiri-Rotanak Kiri,.531
Cambodia,Siem Reab-Otdar Mean Chey,.606
Kiribati,Souyth Tarawa,.659
Kiribati,Northern Gilbert,.598
Kiribati,Central Gibert,.577
Kiribati,Southern Gilbert,.595
Kiribati,Line and Phoenix Group,.607
South Korea,Capital Region,.961
South Korea,Gyeongnam Region,.926
South Korea,Gyeongbuk Region,.866
South Korea,Jeolla Region,.91
South Korea,Chungcheong Region,.913
South Korea,Gangwon Region,.906
South Korea,Jeju,.905
Kuwait,"Al Asimah, Hawalli, Al-Farwaniyah, Mubarak al-Sabah",.845
Kuwait,Ahmadi,.856
Kuwait,Al-Jahra,.836
Lao,Vientiane Municipality,.743
Lao,Phongsaly,.555
Lao,Luangnamtha,.588
Lao,Oudomxay,.581
Lao,Bokeo,.592
Lao,Luangprabang,.605
Lao,Huaphanh,.592
Lao,Sayabury,.675
Lao,Xiengkhuang,.647
Lao,Vientiane Province,.633
Lao,Borikhamxay,.657
Lao,Khammuane,.602
Lao,Savannakhet,.578
Lao,Saravane,.535
Lao,Sekong,.591
Lao,Champasack,.612
Lao,Attapeu,.597
Lebanon,Beirut,.693
Lebanon,Mount Lebanon,.722
Lebanon,Northern,.712
Lebanon,Beqaa,.75
Lebanon,"Southern, Nabtieh",.74
Liberia,Bomi,.467
Liberia,Bong,.45
Liberia,Gbarpolu,.394
Liberia,Grand Bassa,.42
Liberia,Grand Cape Mount,.402
Liberia,Grand Gedeh,.472
Liberia,Grand Kru,.444
Liberia,Lofa,.428
Liberia,Margibi,.47
Liberia,Maryland,.477
Liberia,Montserrado,.554
Liberia,Nimba,.471
Liberia,River Cess,.434
Liberia,River Gee,.478
Liberia,Sinoe,.441
Libya,Cyrenaica,.736
Libya,Tripolitania,.751
Libya,Fezzan,.744
Saint Lucia,St Lucia urban,.72
Saint Lucia,St Lucia rural,.726
Lesotho,Butha-Buthe,.527
Lesotho,Leribe,.522
Lesotho,Berea,.549
Lesotho,Maseru,.557
Lesotho,Mafeteng,.502
Lesotho,Mohale s Hoek,.511
Lesotho,Quthing,.468
Lesotho,Qasha s Nek,.486
Lesotho,Mokhotlong,.454
Lesotho,Thaba-Tseka,.443
Lithuania,Alytus County,.846
Lithuania,Kaunas County,.886
Lithuania,Klaipeda County,.88
Lithuania,Marijampole County,.835
Lithuania,Panevezys County,.85
Lithuania,Siauliai County,.852
Lithuania,Taurage County,.825
Lithuania,Telsiai County,.85
Lithuania,Utena County,.837
Lithuania,Vilnius County,.918
Latvia,Riga region,.937
Latvia,Pieriga region,.898
Latvia,Vidzeme region,.868
Latvia,Kurzeme region,.87
Latvia,Zemgale region,.861
Latvia,Latgale region,.846
Morocco,North west,.717
Morocco,Centre north,.699
Morocco,Centre,.734
Morocco,Eastern,.66
Morocco,Centre south,.68
Morocco,Tensift,.66
Morocco,South,.681
Moldova,North,.742
Moldova,Center,.738
Moldova,South,.759
Moldova,Chisinau,.831
Madagascar,Analamanga,.586
Madagascar,Vakinankaratra,.487
Madagascar,Itasy,.488
Madagascar,Bongolava,.459
Madagascar,Haute Matsiatra,.497
Madagascar,Anamoroni Mania,.475
Madagascar,Vatovavy Fitovinany,.439
Madagascar,Ihorombe,.45
Madagascar,Atsimo Atsinanana,.41
Madagascar,Atsinanana,.497
Madagascar,Analanjirofo,.505
Madagascar,Alaotra Mangoro,.507
Madagascar,Boeny,.5
Madagascar,Sofia,.467
Madagascar,Betsiboka,.425
Madagascar,Melaky,.431
Madagascar,Atsimo Andrefana,.445
Madagascar,Androy,.412
Madagascar,Anosy,.382
Madagascar,Menabe,.382
Madagascar,Diana,.553
Madagascar,Sava,.509
Maldives,Male,.801
Maldives,North,.727
Maldives,North Central,.725
Maldives,Central,.717
Maldives,South Central,.733
Maldives,South,.732
Mexico,Aguascalientes,.798
Mexico,Baja California,.811
Mexico,Baja California Sur,.806
Mexico,Campeche,.771
Mexico,Coahuila,.799
Mexico,Colima,.79
Mexico,Chiapas,.697
Mexico,Chihuahua,.786
Mexico,Distrito Federal,.839
Mexico,Durango,.771
Mexico,Guanajuato,.758
Mexico,Guerrero,.715
Mexico,Hidalgo,.76
Mexico,Jalisco,.79
Mexico,Mexico,.785
Mexico,Michoacan de Ocampo,.745
Mexico,Morelos,.778
Mexico,Nayarit,.777
Mexico,Nuevo Leon,.809
Mexico,Oaxaca,.709
Mexico,Puebla,.743
Mexico,Queretaro,.789
Mexico,Quintana Roo,.782
Mexico,San Luis Potosi,.761
Mexico,Sinaloa,.805
Mexico,Sonora,.804
Mexico,Tabasco,.774
Mexico,Tamaulipas,.793
Mexico,Tlaxcala,.772
Mexico,Veracruz,.744
Mexico,Yucatan,.774
Mexico,Zacatecas,.766
North Macedonia,Skopski,.784
North Macedonia,Pelagoniski,.764
North Macedonia,Vardarski,.761
North Macedonia,North East,.738
North Macedonia,South West,.762
North Macedonia,South East,.718
North Macedonia,Poloski,.748
North Macedonia,East,.743
Mali,Kayes,.379
Mali,Koulikoro,.413
Mali,Sikasso,.392
Mali,Segou,.365
Mali,Mopti,.341
Mali,Tombouctou,.319
Mali,Gao and Kidal,.374
Mali,Bamako,.576
Myanmar,Kachin,.651
Myanmar,Kayah,.636
Myanmar,Kayin,.579
Myanmar,Chin,.614
Myanmar,Sagaing,.597
Myanmar,Taninthayi,.606
Myanmar,Bago,.6
Myanmar,Magway,.61
Myanmar,"Mandalay, NayPyitaw",.626
Myanmar,Mon,.634
Myanmar,Rakhine,.566
Myanmar,Yangon,.697
Myanmar,Shan,.529
Myanmar,Ayeyarwaddy,.581
Monte Negro,North,.838
Monte Negro,Centre,.853
Monte Negro,South,.825
Mongolia,"Western (Bayan-Ulgii, Govi-Altai, Zavkhan, Uvs, Khovd)",.674
Mongolia,"Khangai (Arkhangai, Bayankhongor, Bulgan, Uvurkhangai, Khuvsgul, Orkhon)",.684
Mongolia,"Central (Dornogovi, Dundgovi, Umnugovi, Selenge, Tuv, Darkhan-Uul, Govisumber)",.732
Mongolia,"Eastern (Dornod, Sukhbaatar, Khentii)",.699
Mongolia,Ulaanbaatar,.783
Mozambique,Niassa,.419
Mozambique,Cabo delgado,.425
Mozambique,Nampula,.443
Mozambique,Zambezia,.396
Mozambique,Tete,.42
Mozambique,Manica,.48
Mozambique,Sofala,.491
Mozambique,Inhambane,.511
Mozambique,Gaza,.505
Mozambique,Maputo Provincia,.593
Mozambique,Maputo Cidade,.638
Mauritania,Hodh Charghi,.404
Mauritania,Hodh Gharbi,.451
Mauritania,Assaba,.474
Mauritania,Gorgol,.459
Mauritania,Brakna,.514
Mauritania,Trarza incl Nouakchott,.648
Mauritania,Adrar,.56
Mauritania,Nouadhibou,.675
Mauritania,Tagant,.506
Mauritania,Guidimagha,.438
Mauritania,Tiris-Zemmour,.696
Mauritania,Inchiri,.605
Mauritius,"North (Port Louis, Pamplemousses, Riviere du Rempart, Flacq, Moka)",.791
Mauritius,"South (Grand Port, Savanne, Plaines Wilhems, Black River)",.806
Mauritius,Rodrigues,.715
Malawi,Blantyre,.574
Malawi,Kasungu,.534
Malawi,Machinga,.484
Malawi,Mangochi,.458
Malawi,Mzimba,.544
Malawi,Salima,.481
Malawi,Thyolo,.479
Malawi,Zomba,.516
Malawi,Lilongwe,.517
Malawi,Mulanje,.504
Malawi,"Other northern (Chitipa, Karonga, Rumphi, Nkhata Bay)",.551
Malawi,"Other central (Nkhota Kota, Mchinji, Dowa, Ntchisi, Dedza, Ntcheu)",.485
Malawi,"Other southern (Balaka, Mwanza, Phalombe, Chiradzulu, Chikwawa, Nsanje, neno)",.495
Malaysia,Johor,.821
Malaysia,Kedah,.804
Malaysia,Kelantan,.774
Malaysia,Melaka,.831
Malaysia,Negeri Sembilan,.825
Malaysia,Pahang,.801
Malaysia,Pulau Pinang,.841
Malaysia,Perak,.812
Malaysia,Perlis,.801
Malaysia,Selangor,.859
Malaysia,Terengganu,.796
Malaysia,Sabah,.706
Malaysia,Sarawak,.741
Malaysia,Kuala Lumpur Federal Territory,.863
Malaysia,Labuan Federal Territory,.782
Namibia,Caprivi,.571
Namibia,Erongo,.66
Namibia,Hardap,.629
Namibia,Karas,.644
Namibia,Khomas,.697
Namibia,Kunene,.54
Namibia,Ohangwena,.537
Namibia,Kavango,.52
Namibia,Omaheke,.56
Namibia,Omusati,.581
Namibia,Oshana,.628
Namibia,Oshikoto,.579
Namibia,Otjozondjupa,.601
Niger,Agadez,.493
Niger,Diffa,.374
Niger,Dosso,.375
Niger,Maradi,.377
Niger,Tillabery (incl Niamey),.484
Niger,Tahoua,.349
Niger,Zinder,.36
Nigeria,Akwa Ibom,.602
Nigeria,Anambra,.674
Nigeria,Bauchi,.372
Nigeria,Edo,.633
Nigeria,Benue,.582
Nigeria,Borno,.464
Nigeria,Cross River,.575
Nigeria,Adamawa,.539
Nigeria,Imo,.683
Nigeria,Kaduna,.545
Nigeria,Kano,.482
Nigeria,Katsina,.431
Nigeria,Kwara,.597
Nigeria,Lagos,.721
Nigeria,Niger,.523
Nigeria,Ogun,.579
Nigeria,Ondo,.611
Nigeria,Oyo,.603
Nigeria,Plateau,.563
Nigeria,Rivers,.601
Nigeria,Sokoto,.397
Nigeria,Abia,.622
Nigeria,Delta,.607
Nigeria,Enugu,.667
Nigeria,Jigawa,.371
Nigeria,Kebbi,.366
Nigeria,Kogi,.625
Nigeria,Osun,.607
Nigeria,Taraba,.527
Nigeria,Yobe,.439
Nigeria,Bayelsa,.573
Nigeria,Ebonyi,.706
Nigeria,Ekiti,.612
Nigeria,Gombe,.466
Nigeria,Nassarawa,.549
Nigeria,Zamfora,.392
Nigeria,Abuja FCT,.678
Nicaragua,"Pacifico (Chinandega, Leon, Managua, Masaya, Granada, Carazo, Rivas)",.719
Nicaragua,"Central-Norte (Boaco, Chontales, Jinotega, Matagalpa, Esteli, Madriz, Nueva Segovia)",.625
Nicaragua,"Atlantico (Rio San Juan, Atlantico Norte (Raan), Atlantico Sur (Raas))",.56
Netherlands,Groningen,.942
Netherlands,Friesland,.923
Netherlands,Drenthe,.918
Netherlands,Overijssel,.934
Netherlands,Gelderland,.936
Netherlands,Flevoland,.925
Netherlands,Utrecht,.967
Netherlands,Noord-Holland,.964
Netherlands,Zuid-Holland,.946
Netherlands,Zeeland,.922
Netherlands,Noord-Brabant,.947
Netherlands,Limburg,.936
Norway,Oslo og Akershus,.982
Norway,Hedmark og Oppland,.936
Norway,Sor-Ostlandet,.936
Norway,Agder og Rogaland,.958
Norway,Vestlandet,.963
Norway,Trondelag,.961
Norway,Nord-Norge,.95
Nepal,Koshi province,.598
Nepal,Madhesh province,.548
Nepal,Bagmati province,.658
Nepal,Gandaki province,.638
Nepal,Lumbini province,.594
Nepal,Karnali province,.575
Nepal,Sudurpashchim province,.579
New Zealand,Northland,.9
New Zealand,Auckland,.968
New Zealand,Waikato,.932
New Zealand,Bay of Plenty,.931
New Zealand,Gisborne,.897
New Zealand,Hawkes Bay,.921
New Zealand,Taranaki,.941
New Zealand,Manawatu-Wanganui,.915
New Zealand,Wellington,.969
New Zealand,Tasman - Nelson,.933
New Zealand,Marlborough,.938
New Zealand,West Coast,.922
New Zealand,Canterbury,.943
New Zealand,Otago,.936
New Zealand,Southland,.932
Pakistan,Punjab,.546
Pakistan,Sindh,.514
Pakistan,Khyber Pakhtunkhwa (NWFrontier),.511
Pakistan,Balochistan,.46
Pakistan,Islamabad (ICT),.654
Pakistan,Gilgit Baltistan,.574
Pakistan,AJK,.589
Pakistan,FATA,.453
Panama,Bocas del Toro,.749
Panama,Cocle,.792
Panama,Colon,.829
Panama,Chiriqui,.819
Panama,Darien,.719
Panama,Herrera,.819
Panama,Los Santos,.814
Panama,Panama,.852
Panama,Veraguas,.759
Panama,Kuna Yala,.608
Panama,Embera Wounaan,.64
Panama,Ngobe Bugle,.588
Peru,"North (Tumbes, Piura, Lambayeque, Cajamarca, La Libertad)",.73
Peru,"North East (Amazonas, Loreto, San Martin, Ucayali)",.702
Peru,"East (Madre de Dios, Cusco, Puno, Apurimac)",.7
Peru,"South (Tacna, Moquegua, Arequipa, Ica, Ayacucho)",.782
Peru,"West (Ancash, Lima, Callao)",.82
Peru,"Central (Huancavelica, Huanuco, Junin, Pasco)",.717
Philippines,National Capital Region,.743
Philippines,Cordillera Admin Region,.738
Philippines,I-Ilocos,.709
Philippines,II-Cagayan Valley,.718
Philippines,III-Central Luzon,.725
Philippines,IVA-CALABARZON,.723
Philippines,IVB-MIMAROPA,.694
Philippines,V-Bicol,.68
Philippines,VI-Western Visayas,.713
Philippines,VII-Central Visayas,.694
Philippines,VIII-Eastern Visayas,.696
Philippines,IX-Zamboanga Peninsula,.674
Philippines,X-Northern Mindanao,.712
Philippines,XI-Davao,.708
Philippines,XII-SOCCSKSARGEN,.684
Philippines,XIII-Caraga,.71
Philippines,ARMM,.629
Papua New Guinea,Western,.575
Papua New Guinea,Gulf,.533
Papua New Guinea,Central,.581
Papua New Guinea,National Capital District,.742
Papua New Guinea,Milne Bay,.573
Papua New Guinea,"Northern, Oro",.567
Papua New Guinea,Southern Highlands,.499
Papua New Guinea,Enga,.5
Papua New Guinea,Western Highlands,.599
Papua New Guinea,"Chimbu, Simbu",.583
Papua New Guinea,Eastern Highlands,.534
Papua New Guinea,Morobe,.605
Papua New Guinea,Madang,.57
Papua New Guinea,East Sepik,.562
Papua New Guinea,"West Sepik, Sandaun",.542
Papua New Guinea,Manus,.624
Papua New Guinea,New Ireland,.611
Papua New Guinea,East New Britain,.613
Papua New Guinea,West New Britain,.605
Papua New Guinea,Autonomous Region of Bougainville,.607
Papua New Guinea,Hela,.472
Papua New Guinea,Jiwaka,.564
Poland,Lodzkie,.874
Poland,Mazowieckie,.931
Poland,Malopolskie,.891
Poland,Slaskie,.889
Poland,Lubelskie,.863
Poland,Podkarpackie,.871
Poland,Swietokrzyskie,.865
Poland,Podlaskie,.875
Poland,Wielkopolskie,.887
Poland,Zachodniopomorskie,.873
Poland,Lubuskie,.869
Poland,Dolnoslaskie,.894
Poland,Opolskie,.872
Poland,Kujawsko-Pomorskie,.869
Poland,Warminsko-Mazurskie,.853
Poland,Pomorskie,.896
Portugal,Norte,.862
Portugal,Algarve,.859
Portugal,Centro,.865
Portugal,Area Metropolitana de Lisboa,.907
Portugal,Alentejo,.85
Portugal,Regiao Autonoma dos Acores,.814
Portugal,Regiao Autonoma da Madeira,.829
Paraguay,"North-West (Boqueron, Alto Paraguay, Presidente Hayes, Conception, Amambay, San pedro, Cordillera)",.704
Paraguay,"North-East (Caaguazu, Alto Parana, Canideyu)",.71
Paraguay,"South-West (Caazapa, Itapua)",.714
Paraguay,"South-East (Guaira, Misiones, Paraguari, Neembucu)",.719
Paraguay,"Central (Asuncion, Central)",.768
Palestine,Jenin,.721
Palestine,Tubas,.719
Palestine,Tulkarm,.734
Palestine,Nablus,.726
Palestine,Qalqiliya,.724
Palestine,Salfit,.731
Palestine,Ramallah & Al-Bireh,.725
Palestine,Jericho and Al Aghwar,.696
Palestine,Jerusalem,.711
Palestine,Bethlehem,.731
Palestine,Hebron,.709
Palestine,North Gaza,.7
Palestine,Gaza City,.705
Palestine,Deir El-Balah,.713
Palestine,Khan Yunis,.711
Palestine,Rafah,.696
Romania,Nord-Est,.785
Romania,Sud-Est,.796
Romania,Sud,.785
Romania,Sud-Vest Oltenia,.806
Romania,Vest,.831
Romania,Nord-Vest,.831
Romania,Centru,.823
Romania,Bucuresti,.926
Russian Federation,The Central Federal District,.815
Russian Federation,The North West Federal District,.822
Russian Federation,The South Federal District,.764
Russian Federation,The North-Caucasian Federal District,.752
Russian Federation,The Privolzhsky (Volga) Federal District,.778
Russian Federation,The Urals  Federal District,.822
Russian Federation,The Siberian  Federal District,.768
Russian Federation,The Far East  Federal District,.769
Rwanda,City of Kigali,.644
Rwanda,South,.526
Rwanda,West,.536
Rwanda,North,.525
Rwanda,East,.54
Saudi Arabia,"Center (Riadh, Qassim)",.899
Saudi Arabia,"West (Makka, Madinah, Tabuk)",.871
Saudi Arabia,"South (Bahah, Jizan, Asir, Najran)",.854
Saudi Arabia,Eastern province,.862
Saudi Arabia,"North (Northern Borders, Al Jawf, Hail)",.889
Sudan,Northern,.638
Sudan,Nahr El Nil,.613
Sudan,Red Sea,.533
Sudan,Kassala,.466
Sudan,Al Gedarif,.463
Sudan,Khartoum,.638
Sudan,Al Gezira,.56
Sudan,White Nile,.503
Sudan,Sinnar,.506
Sudan,Blue Nile,.43
Sudan,North Kordofan,.475
Sudan,South Kordofan,.444
Sudan,North Darfur,.475
Sudan,West Darfur,.454
Sudan,South Darfur,.449
Senegal,Dakar,.614
Senegal,Ziguinchor,.596
Senegal,Diourbel,.395
Senegal,Saint Louis,.47
Senegal,Tambacounda,.46
Senegal,Kaolack,.465
Senegal,Thies,.569
Senegal,Louga,.458
Senegal,Fatick,.51
Senegal,Kolda,.46
Sierra Leone,Bombali,.459
Sierra Leone,Kambia,.423
Sierra Leone,Koinadugu,.418
Sierra Leone,Port Loko,.413
Sierra Leone,Tonkolili,.426
Sierra Leone,Kailahun,.438
Sierra Leone,Kenema,.433
Sierra Leone,Kono,.442
Sierra Leone,Bo,.445
Sierra Leone,Bonthe,.435
Sierra Leone,Moyamba,.414
Sierra Leone,Pujehun,.406
Sierra Leone,Western Rural,.496
Sierra Leone,Western Urban,.579
El Salvador,Occidental,.644
El Salvador,Central I,.711
El Salvador,Central II,.641
El Salvador,Oriental,.631
Somalia,W Galbeed,.457
Somalia,Awdal,.401
Somalia,Sanaag,.448
Somalia,Sool,.338
Somalia,Togdhere,.323
Somalia,Mudug,.374
Somalia,Nugal,.378
Somalia,Bari,.429
Somalia,Bakool,.295
Somalia,Bay,.294
Somalia,Gedo,.33
Somalia,Middle Juba,.232
Somalia,Hiran,.291
Somalia,Middle Shabelle,.315
Somalia,Lower Shabelle,.323
Somalia,Banadir,.459
Somalia,Galguduud,.279
Somalia,Lower Juba,.3
Serbia,Belgrade,.833
Serbia,Vojvodina,.798
Serbia,Sumadija and West Serbia,.794
Serbia,South and East Serbia,.796
South Sudan,Upper Nile,.422
South Sudan,Jonglei,.331
South Sudan,Unity,.34
South Sudan,Warrap,.308
South Sudan,Northern Bahr El Ghazal,.305
South Sudan,Western Bahr El Ghazal,.412
South Sudan,Lakes,.344
South Sudan,Western Equatoria,.426
South Sudan,Central Equatoria,.459
South Sudan,Eastern Equatoria,.367
Sao Tome & Principe,Regiao Centro,.632
Sao Tome & Principe,Regiao Sul,.581
Sao Tome & Principe,Regiao Norte,.582
Sao Tome & Principe,Regiao do Principe,.616
Suriname,Paramaribo,.708
Suriname,Wanica and Para,.696
Suriname,"Nickerie, Coronie and Saramacca",.687
Suriname,Commewijne and Marowijne,.673
Suriname,Brokopondo and Sipaliwini,.564
Slovakia,Bratislavsky kraj,.945
Slovakia,Zapadne Slovensko,.843
Slovakia,Stredne Slovensko,.836
Slovakia,Vychodne Slovensko,.817
Slovenia,Pomurska,.868
Slovenia,Podravska,.898
Slovenia,Koroska,.892
Slovenia,Savinjska,.903
Slovenia,Zasavska,.848
Slovenia,Posavska,.889
Slovenia,Jugovzhodna Slovenija,.905
Slovenia,Primorsko-notranjska,.888
Slovenia,Osrednjeslovenska,.97
Slovenia,Gorenjska,.919
Slovenia,Goriska,.911
Slovenia,Obalno-kraska,.928
Sweden,Stockholm,.976
Sweden,Ostra Mellansverige,.941
Sweden,Smaland med oarna,.941
Sweden,Sydsverige,.941
Sweden,Vastsverige,.951
Sweden,Norra Mellansverige,.934
Sweden,Mellersta Norrland,.94
Sweden,Ovre Norrland,.95
Eswatini,Hhohho,.625
Eswatini,Manzini,.596
Eswatini,Shiselweni,.604
Eswatini,Lubombo,.609
Syria,Damascus,.595
Syria,Rural Damascus,.572
Syria,Homs,.578
Syria,Hamaa,.563
Syria,Tartous,.594
Syria,Al Latakia,.599
Syria,Edlab Idleb,.529
Syria,Halab - Aleppo,.528
Syria,Al Raka-Raqqa,.499
Syria,Der El Zour - Deir Ezzor,.53
Syria,Al Hasaka,.507
Syria,Al Swida - Sweida,.604
Syria,Daraa,.566
Syria,Al Qunitara - Quneitra,.542
Chad,Zone 1 (N'Djamena),.531
Chad,"Zone 2 (Borkou, Ennedi, Tibesti, Kanem, Barh El Gazal, Lac)",.27
Chad,"Zone 3 (Guera, Batha, Salamat)",.336
Chad,"Zone 4 (Ouaddai, Assongha, Sila, Biltine - Wadi Fira)",.292
Chad,"Zone 5 (Chari-Baguimi, Dababa, Baguirmi, Hadjer Lamis)",.286
Chad,Zone 6 (Mayo-Kebbi Est and Ouest),.458
Chad,"Zone 7 (Logone Occidental & Oriental, Monts de Lam, Tandjile Est & Ouest)",.413
Chad,"Zone 8 (Mandoul, Moyen-Chari, Bahr Koh, Lac Iro)",.433
Togo,Lome,.617
Togo,Maritime,.527
Togo,Plateaux,.534
Togo,Centrale,.534
Togo,Kara,.515
Togo,Savanes,.471
Thailand,Bangkok,.836
Thailand,Central,.808
Thailand,North,.787
Thailand,Northeast,.782
Thailand,South,.791
Tajikistan,Duchanbe,.749
Tajikistan,Khatlon,.659
Tajikistan,Sughd (formerly Leninabad),.683
Tajikistan,DRS,.672
Tajikistan,GBAO,.687
Turkmenistan,Ashgabat City,.8
Turkmenistan,Akhal,.738
Turkmenistan,Balkan,.756
Turkmenistan,Dashoguz,.722
Turkmenistan,Lebap,.75
Turkmenistan,Mary,.723
Timor Leste,Aileu,.552
Timor Leste,Ainaro,.503
Timor Leste,Baucau,.544
Timor Leste,Bobonaro,.543
Timor Leste,Cova Lima,.554
Timor Leste,Dili,.673
Timor Leste,Ermera,.501
Timor Leste,Liquica,.57
Timor Leste,Lautem,.546
Timor Leste,Manufahi,.557
Timor Leste,Manatuto,.555
Timor Leste,Oecussi,.5
Timor Leste,Viqueque,.542
Tonga,Tongatapu,.748
Tonga,Vava-u,.727
Tonga,Ha-apai,.695
Tonga,Eua,.715
Tonga,Ongo Niua,.7
Trinidad & Tobago,North West,.816
Trinidad & Tobago,East,.793
Trinidad & Tobago,Central,.826
Trinidad & Tobago,South West,.809
Trinidad & Tobago,Tobago,.811
Tunisia,"Grand Tunis (Tunis, Ariana, Ben Arous, Manouba)",.777
Tunisia,"Nord Est (Nabeul, Zaghouan, Bizerte)",.719
Tunisia,"Nord Ouest (Beja, Jendouba, Kef, Siliana)",.707
Tunisia,"Centre Ouest (Kairouan, Kasserine, Sidi Bouzid)",.668
Tunisia,"Centre Est (Sousse, Monastir, Mahdia, Sfax)",.73
Tunisia,"Sud Ouest (Gafsa, Tozeur, Kebili)",.726
Tunisia,"Sud Est (Gabes, Medinine, Tataouine)",.73
Turkey,Istanbul,.888
Turkey,"West Marmara (Balikesir, Canakkale, Edirne, Kirkla",.858
Turkey,"Aegean (Afyon, Aydin, Denizli, Izmir, Kutahya, Man",.855
Turkey,"East Marmara (Bilecik, Bolu, Bursa, Duzce, Eskiseh",.864
Turkey,"West Anatolia (Ankara, Konya, Karaman)",.871
Turkey,"Mediterranean (Adana, Antalya, Burdur, Hatay, Ispa",.844
Turkey,"Central Anatolia (Kayseri, Kirsehir, Nevsehir, Nig",.834
Turkey,"West Black Sea (Amasya, Cankiri, Corum, Kastamonu,",.827
